https://www.ctcrash.uconn.edu/QueryTool2.action?qid=156713
"CrashID","VehicleID","Trailer ID","Trailer Information Same As Carrier","Trailer Information Same As Power Unit","Trailer Information Same As Other Trailer","Trailer Owner City","Trailer Owner State","Trailer Owner Country","Trailer Owner Postal Code","Trailer License Plate Issuing State Code","Trailer License Plate Was Expired","Trailer License Plate Was Missing","Trailer Vehicle Identification Number"
"372600","1","1","false","false","false","","","","","","","",""
"372600","1","2","false","false","false","","","","","","","",""
"372600","2","1","false","false","false","","","","","","","",""
"372600","2","2","false","false","false","","","","","","","",""
"372966","1","1","false","false","false","","","","","","","",""
"372966","1","2","false","false","false","","","","","","","",""
"372966","2","1","false","false","false","","","","","","","",""
"372966","2","2","false","false","false","","","","","","","",""
"373401","1","1","false","false","false","","","","","","","",""
"373401","1","2","false","false","false","","","","","","","",""
"373401","2","1","false","false","false","","","","","","","",""
"373401","2","2","false","false","false","","","","","","","",""
"373462","1","1","false","false","false","","","","","","","",""
"373462","1","2","false","false","false","","","","","","","",""
"373744","1","1","false","false","false","","","","","","","",""
"373744","1","2","false","false","false","","","","","","","",""
"373749","1","1","false","false","false","","","","","","","",""
"373749","1","2","false","false","false","","","","","","","",""
"373749","2","1","false","false","false","","","","","","","",""
"373749","2","2","false","false","false","","","","","","","",""
"373801","1","1","false","false","false","","","","","","","",""
"373801","1","2","false","false","false","","","","","","","",""
"374588","1","1","false","false","false","","","","","","","",""
"374588","1","2","false","false","false","","","","","","","",""
"374588","2","1","false","false","false","","","","","","","",""
"374588","2","2","false","false","false","","","","","","","",""
"374637","1","1","false","false","false","","","","","","","",""
"374637","1","2","false","false","false","","","","","","","",""
"374637","2","1","false","false","false","","","","","","","",""
"374637","2","2","false","false","false","","","","","","","",""
"374732","1","1","false","false","false","","","","","","","",""
"374732","1","2","false","false","false","","","","","","","",""
"374732","2","1","false","false","false","","","","","","","",""
"374732","2","2","false","false","false","","","","","","","",""
"375323","1","1","false","false","false","","","","","","","",""
"375323","1","2","false","false","false","","","","","","","",""
"375323","2","1","false","false","false","","","","","","","",""
"375323","2","2","false","false","false","","","","","","","",""
"375327","1","1","false","false","false","","","","","","","",""
"375327","1","2","false","false","false","","","","","","","",""
"375474","1","1","false","false","false","","","","","","","",""
"375474","1","2","false","false","false","","","","","","","",""
"375474","2","1","false","false","false","","","","","","","",""
"375474","2","2","false","false","false","","","","","","","",""
"375977","1","1","false","false","false","","","","","","","",""
"375977","1","2","false","false","false","","","","","","","",""
"375977","2","1","false","false","false","","","","","","","",""
"375977","2","2","false","false","false","","","","","","","",""
"376057","1","1","false","false","false","","","","","","","",""
"376057","1","2","false","false","false","","","","","","","",""
"376057","2","1","false","false","false","","","","","","","",""
"376057","2","2","false","false","false","","","","","","","",""
"376059","1","1","false","false","false","","","","","","","",""
"376059","1","2","false","false","false","","","","","","","",""
"376059","2","1","false","false","false","","","","","","","",""
